id,name,type,date_opened,date_closed,outcome,market_sector,toh,url
0,AlphaTheta / Serato merger inquiry,Mergers,23 January 2024,22 July 2024,Mergers - phase 2 cancellation,Recreation and leisure,Consumers,https://www.gov.uk/cma-cases/alphatheta-slash-serato-merger-inquiry
1,TGS/PGS UK merger inquiry,Mergers,12 April 2024,9 July 2024,,Oil and gas refining and petrochemicals,Competitors,https://www.gov.uk/cma-cases/tgs-slash-pgs-uk-merger-inquiry
